source	target	source_id	target_id
physics	Physics	G 	10010405.10010432.10010441
signal processing 	Signal processing systems	G01D 5/24476	10010583.10010588.10003247
protection	Privacy protections	G01J 2001/0276	10002978.10003029.10011150
devices	Pointing devices	G01J 2004/001	10003120.10003121.10003125.10010873
imaging	Imaging	G01J 2005/0077	10010405.10010444.10010087.10010096
protection against electromagnetic or electrostatic interferences	Electromagnetic interference and compatibility	G01L 19/069	10010583.10010584.10010585
geometry	Epipolar geometry	G01N 2021/4752	10010147.10010178.10010224.10010226.10010235
reflection	Reflective middleware	G01N 2021/7773	10011007.10010940.10010941.10010942.10010944.10010946
index	Web indexing	G01N 2021/7776	10002951.10003260.10003261.10003263.10003264
proximity analysis, local statistics	Statistical timing analysis	G01N 2021/8877	10010583.10010682.10010705.10010710
gui [graphical user interfaces]	Graphical user interfaces	G01N 2035/0091	10003120.10003121.10003124.10010865
visual inspection 	Visual inspection	G01N 21/8803	10010147.10010178.10010224.10010225.10010232
ambient light is used	Ambient intelligence	G01N 2201/0616	10003120.10003138.10003139.10010906
imaging	Imaging	G01N 2223/40	10010405.10010444.10010087.10010096
imaging image processing	Image processing	G01N 2223/401	10010147.10010371.10010382.10010383
imaging	Imaging	G01N 29/0654	10010405.10010444.10010087.10010096
classification of defects	Classes and objects	G01N 29/4445	10011007.10011006.10011008.10011024.10011029
neural networks	Neural networks	G01N 29/4481	10010147.10010257.10010293.10010294
neural networks	Neural networks	G01N 29/4481	10010520.10010521.10010542.10010294
preparation	Document preparation	G01N 30/06	10010405.10010497.10010510
fraction collectors	Test collections	G01N 30/80	10002951.10003317.10003359.10003360
differentiation	Automatic differentiation	G01N 30/861	10002950.10003714.10003715.10003748
differentiation	Numerical differentiation	G01N 30/861	10002950.10003714.10003715.10003724
application of the sorbent layer	Application layer protocols	G01N 30/93	10003033.10003039.10003051
devices	Pointing devices	G01N 33/726	10003120.10003121.10003125.10010873
scheduling	Scheduling	G01N 35/0092	10011007.10010940.10010941.10010949.10010957.10010688
bare printed circuit boards	Printed circuit boards	G01R 31/2805	10010583.10010584
input or output aspects	Input / output circuits	G01R 31/31712	10010583.10010600.10010602.10010603
functional testing	Functional verification	G01R 31/3181	10010583.10010717.10010721
test of combinational circuits	Combinational circuits	G01R 31/318502	10010583.10010600.10010615.10010618
test of sequential circuits 	Sequential circuits	G01R 31/318522	10010583.10010600.10010615.10010621
design for test	Design for testability	G01R 31/318583	10010583.10010737.10010744
built-in tests	Built-in self-test	G01R 31/3187	10010583.10010737.10010744.10010741
timing generation or clock distribution 	Clock generation and timing	G01R 31/31922	10010583.10010633.10010634.10010636
military	Military	G01S 2205/07	10010405.10010476.10010478
scanners 	Scanners	G01T 1/2964	10010583.10010588.10011667
noise reduction	Noise reduction	G01V 2210/32	10010583.10010588.10003247.10003250
temperature control	Temperature control	G02B 2006/12135	10010583.10010662.10010586.10010680
cables for special applications 	Application specific processors	G02B 6/4415	10010583.10010633.10010640.10010643
mixtures in general	General literature	G03C 2200/42	10002944.10011122.10002949
presence detection	Presentation protocols	G03G 2221/1892	10003033.10003039.10003050
formation of interference pattern, not otherwise provided for	Format and notation	G03H 2001/0441	10010405.10010497.10010510.10010514
representation of the decomposed object	Representation of mathematical objects	G03H 2210/45	10010147.10010148.10010164
frameworks	Frameworks	G04B 29/00	10011007.10011006.10011008.10011024.10011038
protection of the clockwork against damage from the outside	Use cases	G04B 37/00	10011007.10011074.10011099.10011105.10011108
input/output	Input / output	G05B 19/0423	10011007.10010940.10010941.10010949.10010965.10010967
input/output	Input / output	G05B 19/054	10011007.10010940.10010941.10010949.10010965.10010967
