source	target	source_id	target_id
physics	Physics	G 	10010405.10010432.10010441
visual inspection 	Visual inspection	G01N 21/8803	10010147.10010178.10010224.10010225.10010232
scanners 	Scanners	G01T 1/2964	10010583.10010588.10011667
noise reduction	Noise reduction	G01V 2210/32	10010583.10010588.10003247.10003250
frameworks	Frameworks	G04B 29/00	10011007.10011006.10011008.10011024.10011038
input/output	Input / output	G05B 19/0423	10011007.10010940.10010941.10010949.10010965.10010967
input/output	Input / output	G05B 19/054	10011007.10010940.10010941.10010949.10010965.10010967
petri net	Petri nets	G05B 2219/13112	10011007.10010940.10010971.10010980.10010981
use of parser	Parsers	G05B 2219/23275	10011007.10011006.10011041.10011688
microprocessor control or manual control	Process management	G05B 2219/23319	10011007.10010940.10010941.10010949.10010957
star network	Star networks	G05B 2219/25035	10003033.10003083.10003090.10011643.10011646
token ring network	Token ring networks	G05B 2219/25165	10003033.10003083.10003090.10011643.10011647.10011648
repeater	Repeaters	G05B 2219/25181	10003033.10003058.10003062.10011659
firewall	Firewalls	G05B 2219/31246	10002978.10003006.10011617
use of genetic algorithm	Genetic algorithms	G05B 2219/32333	10010147.10010257.10010293.10011809.10011812
interpolate backwards	Interpolation	G05B 2219/34091	10002950.10003714.10003715.10003722
use of spreadsheet	Spreadsheets	G05B 2219/35011	10010405.10010476.10011187.10011189
texture	Texturing	G05B 2219/37363	10010147.10010371.10010382.10010384
object detection	Object detection	G05B 2219/40563	10010147.10010178.10010224.10010245.10010250
approximation	Approximation	G05B 2219/43191	10002950.10003714.10003736.10003737
packaging	Packaging	G05B 2219/45048	10010583.10010682.10010697.10010699
printer	Printers	G05B 2219/45187	10010583.10010588.10010594
keyboards	Keyboards	G06C 7/02	10003120.10003121.10003125.10010872
systolic arrays	Systolic arrays	G06F 15/8046	10010520.10010521.10010528.10010535
concurrency control 	Concurrency control	G06F 16/2308	10011007.10010940.10010941.10010949.10010957.10010963
query languages	Query languages	G06F 16/2433	10002951.10002952.10003197
query optimisation	Query optimization	G06F 16/2453	10002951.10002952.10003190.10003192.10003210
clustering or classification	Clustering and classification	G06F 16/285	10002951.10003317.10003347.10003356
entity relationship models	Entity relationship models	G06F 16/288	10002951.10002952.10002953.10002959
ontology	Ontologies	G06F 16/367	10002951.10003317.10003318.10011147
thesaurus	Thesauri	G06F 16/374	10002951.10003317.10003318.10011149
query optimisation	Query optimization	G06F 16/8365	10002951.10002952.10003190.10003192.10003210
differential equations	Differential equations	G06F 17/13	10002950.10003714.10003727
equivalence checking	Equivalence checking	G06F 2119/16	10010583.10010717.10010721.10010723
pass transistors	Transistors	G06F 2207/4816	10010583.10010600.10010612.10010613
constraint	Constraints	G06F 2209/506	10011007.10011006.10011008.10011024.10011032
e-mail	Email	G06F 2211/006	10002951.10003260.10003282.10003286.10003287
