source	target	source_id	target_id	reasoning	is_correct	questionable
signal processing	signal theory	G01C 19/5726	signal_theory	CSO has signal processing as additional label, however, probably not a match as CSO refers to mathematical notion of signals (noise in context of statistics) while CPC refers to measuring signals.	0	
handheld	handheld	G01J 1/0233	handheld	CPC refers to handhelds in the context of windtunnels while CSO is about handheld computers	0	
optical filters	optical filters	G01J 5/0802	optical_filters	Not in my expertise	0	?
waveguides	circular waveguides	G01J 5/0818	circular_waveguides	Not in my expertise	0	?
standards	h.264 standards	G01N 2030/042	h.264_standards	CSO is about multimedia, while CPC is about chemical-related (?) context	0	
impedance	electric impedance tomography	G01N 2291/018	electric_impedance_tomography	CSO has as label also impedance and in both contexts the same notion is expressed.	1	
impedance	impedance bandwidths	G01N 2291/018	impedance_bandwidths	CSO has as label also impedance and in both contexts the same notion is expressed.	1	
glass	glass lasers	G01N 33/386	glass_lasers	Not a match. CPC is about the concrete material and CSO is about lasers.	0	
spectrum analysis; fourier analysis	fourier analysis	G01R 23/16	fourier_analysis	Same notion.	1	
measuring pulse width	pulse width	G01R 29/023	pulse_width	CSO is about pulse width itself, while CPC is about measuring pulse width. Might be considered a match.	1	?
simulation	full-system simulation	G01R 31/318357	full-system_simulation	CPC is about simulation in the context of testing. There is no evidence that this applies to CSO as well.	0	
power consumption	low-power consumption	G01S 19/34	low-power_consumption	Different notion.	0	?
solar tracking systems	tracking system	G01S 3/7861	tracking_system	Different notion.	0	
energy consumption	low energy consumption	G01S 5/019	low_energy_consumption	Different notion.	0	?
energy consumption	energy consumption model	G01S 5/019	energy_consumption_model	Different notion.	0	?
meteorology	eddies	G01W 	eddies	Different notion.	0	
splicing	spliceosomes	G02B 2006/12192	spliceosomes	CPC is about genes and CSO is about manufacturing.	0	
electro-optical materials	optical materials	G02F 1/0018	optical_materials	Different notion.	0	
materials and properties conductive	conductive materials	G02F 2202/16	conductive_materials	Different notion.	0	
testing optical components 	optical testing	G03F 7/70591	optical_testing	Different notion.	0	
look up table	look-up tables	G03H 2001/0833	look-up_tables	CSO is about fpgs, while CPC is about holographic procedures	0	
look up table	look-up table	G03H 2001/0833	look-up_table	CSO is about fpgs, while CPC is about holographic procedures	0	
moving object	moving objects	G03H 2210/62	moving_objects	CSO is about computer vision in general, while CPC is specifically about holographic concepts. Still, I would argue that they are related.	1	
multiprocessor system	multiprocessor-system	G05B 19/0421	multiprocessor-system	Same notion in slightly different contexts	1	
test of sensor	test set	G05B 2219/14076	test_set	CSO is about test sets in context of machine learning while CPC is about test of sensors	0	
microcontroller	micro-controller	G05B 2219/15053	micro-controller	CSO is about embedded systems, while CPC is about PLC, thus I would consider it a match	1	
power supply	power supplies	G05B 2219/15097	power_supplies	Same notion	1	
petrinet	petri nets	G05B 2219/23002	petri_nets	Both refer to the general, theoretical concept of petri nets	1	
dsp digital signal processor	digital signal processors	G05B 2219/25254	digital_signal_processors	Both are in different hierarchies, but refer to the same concept	1	
wireless lan	wlan systems	G05B 2219/31162	wlan_systems	Both are in different hierarchies, but refer to the same concept	1	
capp computer aided machining and process planning	computer aided process planning	G05B 2219/32099	computer_aided_process_planning	CPC is about NC systems, while CSO is about a very similar area (~CAD related)	1	
operative process planning	process planning	G05B 2219/32107	process_planning	Similar to “capp computer aided machining and process planning”	1	
real time scheduler	real time scheduling	G05B 2219/32247	real_time_scheduling	Similar to “microcontroller”	1	
shared memory	shared memories	G05B 2219/34069	shared_memories	CPC refers to shared memory in the context of NC systems, while CSO is the general low-level notion of shared memory. Probably not close enough	1	
scalability	temporal scalability	G05B 2219/34334	temporal_scalability	Both concepts have different meaning in their respective context	0	
multiprocessor scheduling	multi processor scheduling	G05B 2219/34417	multi_processor_scheduling	Same reasoning as with “shared memory”	0	
structure of control system	control loop	G05B 2219/34419	control_loop	CSO has as label also control system, however, it is about robotics while CPC is about NC systems	0	
data storage, buffer	buffer storage	G05B 2219/35373	buffer_storage	Similar as with “structure of control system”	0	
gyroscope	gyroscopes	G05B 2219/37134	gyroscopes	Same concept in both hierarchies.	1	
frequency	frequency multiplying circuits	G05B 2219/37352	frequency_multiplying_circuits	Probably different notion depending on context	0	
frequency	variable frequency oscillators	G05B 2219/37352	variable_frequency_oscillators	Probably different notion depending on context	0	
trajectory tracking	trajectory tracking	G05B 2219/39219	trajectory_tracking	Both are sub-concepts of robotics, therefore match	1	
stereo audio and vision	stereo vision	G05B 2219/40136	stereo_vision	CPC refers to vision in context of robotics, while CSO is about image reconstruction. Probably not related enough.	0	?
tactile sensor	tactile sensing	G05B 2219/40625	tactile_sensing	Both are sub-concepts of robotics, therefore match	1	
with cam	cam	G05B 2219/41069	cam	Can be considered a match as CPC is a descendant of NC Systems and CSO is a descendant about manufacturing	1	
tracking control	tracking controls	G05B 2219/42337	tracking_controls	Similar reasoning as with “with cam”	1	
chip thickness	chip thickness	G05B 2219/49104	chip_thickness	Similar reasoning as with “with cam”	1	
object oriented databases	object oriented database	G06F 16/289	object_oriented_database	Same notion.	1	
query translation	query translations	G06F 16/8358	query_translations	Both are about information retrieval	1	
query translation	query translations	G06F 16/8358	query_translations	Both are about information retrieval	1	
trees	fp-tree	G06F 16/9027	fp-tree	CSO is specifically about fp trees	0	
discrete fourier transforms	discrete fourier transform	G06F 17/141	discrete_fourier_transform	Same notion.	1	
discrete fourier transforms	discrete fourier transform %28dft%29	G06F 17/141	discrete_fourier_transform_%28dft%29	Same notion.	1	
cache	cache	G06F 2015/765	cache	Same notion.	1	
pipelining	pipelining	G06F 2207/3884	pipelining	CPC has windtunnels as ascendant	0	
non-volatile memory	non-volatile memory	G06F 2212/202	non-volatile_memory	Same notion.	1	
routing	routing	G06F 30/394	routing	Hard to determine.	0	?
routing	network routing	G06F 30/394	network_routing	Hard to determine.	0	?
finite state machines	finite state machine	G06F 9/4498	finite_state_machine	Same notion.	1	
rasterization	rasterization	G06K 15/1836	rasterization	Both are about rasterization in the graphical domain	1	
