Entity1	Entity2	Value
cpc:G06F8-00	ccs:10011007	1.0
cpc:G06F8-10	ccs:10011007.10011074.10011075.10011076	1.0
cpc:G06F8-20	ccs:10011007.10011074.10011075	1.0
cpc:G06F8-31	ccs:10011007.10011006.10011008.10011009	1.0
cpc:G06F8-311	ccs:10011007.10011006.10011008.10011009.10011012	1.0
cpc:G06F8-313	ccs:10011007.10011006.10011008.10011009.10011015	1.0
cpc:G06F8-314	ccs:10011007.10011006.10011008.10011009.10010175	1.0
cpc:G06F8-315	ccs:10011007.10011006.10011008.10011009.10011011	1.0
cpc:G06F8-35	ccs:10011007.10010940.10010971.10010980.10010984	1.0
cpc:G06F8-37	ccs:10011007.10011006.10011041.10011046	1.0
cpc:G06F8-41	ccs:10011007.10011006.10011041	0.9
cpc:G06F8-423	ccs:10011007.10011006.10011041.10011049	1.0
cpc:G06F8-427	ccs:10011007.10011006.10011041.10011688	0.9
cpc:G06F9-546	ccs:10011007.10010940.10010941.10010949.10010965.10010968	0.9
cpc:G06F8-47	ccs:10011007.10011006.10011041.10011043	1.0
cpc:G06F8-48	ccs:10011007.10011006.10011041.10011042	1.0
cpc:G06F8-70	ccs:10011007.10011074.10011111	1.0
cpc:G06F8-71	ccs:10011007.10011074.10011111.10011695	1.0
cpc:G06F8-73	ccs:10011007.10011074.10011111.10010913	1.0
cpc:G06F8-74	ccs:10011007.10011074.10011111.10003465	1.0
cpc:G06F11-3608	ccs:10011007.10011074.10011099.10011692	1.0
cpc:G06F11-3608	ccs:10011007.10010940.10010992.10010998	1.0
cpc:G06F11-3616	ccs:10011007.10010940.10010992	1.0
cpc:G06F11-362	ccs:10011007.10011074.10011099.10011102.10011103	1.0
cpc:G06F11-3668	ccs:10011007.10011074.10011099.10011102	8.0
