Entity1	Entity2	Value
cpc:G06F8-10	cso:requirements_engineering	1.0
cpc:G06F8-10	cso:requirement_engineering	1.0
cpc:G06F8-10	cso:requirements_specification	0.9
cpc:G06F8-10	cso:requirements_specifications	0.9
cpc:G06F8-20	cso:software_design	1.0
cpc:G06F8-24	cso:object-oriented_design	1.0
cpc:G06F8-24	cso:object_oriented_design	1.0
cpc:G06F8-24	cso:object_oriented	1.0
cpc:G06F8-24	cso:object-oriented	1.0
cpc:G06F8-311	cso:functional_languages	1.0
cpc:G06F8-313	cso:logic_programming	1.0
cpc:G06F8-314	cso:parallel_languages	1.0
cpc:G06F8-315	cso:object-oriented_languages	1.0
cpc:G06F8-315	cso:object-oriented_programming_languages	1.0
cpc:G06F8-316	cso:aspect-oriented_programming	0.9
cpc:G06F8-316	cso:aspect_oriented_programming	0.9
cpc:G06F8-316	cso:aspect-oriented_programming_%28aop%29	0.9
cpc:G06F8-34	cso:visual_programming	1.0
cpc:G06F8-36	cso:computer_software_reusability	0.9
cpc:G06F8-36	cso:reusability	0.9
cpc:G06F8-36	cso:software_reuse	1.0
cpc:G06F8-36	cso:software_re-use	1.0
cpc:G06F8-41	cso:program_compilers	0.9
cpc:G06F8-41	cso:compilers	0.9
cpc:G06F8-41	cso:compiler	0.9
cpc:G06F8-436	cso:static_program_analysis	1.0
cpc:G06F8-44	cso:program_translators	1.0
cpc:G06F8-441	cso:register_allocation	1.0
cpc:G06F8-445	cso:instruction_level_parallelism	1.0
cpc:G06F8-445	cso:instruction-level_parallelism	1.0
cpc:G06F8-4452	cso:software_pipelining	1.0
cpc:G06F8-453	cso:data_parallelism	1.0
cpc:G06F8-453	cso:data_parallel	1.0
cpc:G06F8-49	cso:partial_evaluation	1.0
cpc:G06F8-52	cso:binary_translation	1.0
cpc:G06F8-70	cso:software_maintenance	1.0
cpc:G06F8-71	cso:version_management	1.0
cpc:G06F8-72	cso:refactorings	1.0
cpc:G06F8-72	cso:refactoring	1.0
cpc:G06F8-73	cso:program_documentation	1.0
cpc:G06F8-75	cso:static_analysis	1.0
cpc:G06F8-75	cso:static_analyzers	0.9
cpc:G06F8-751	cso:clone_detection	1.0
cpc:G06F8-77	cso:software_metrics	1.0
cpc:G06F11-3608	cso:formal_verification	1.0
cpc:G06F11-3608	cso:formal_verifications	1.0
cpc:G06F11-3612	cso:runtime_verification	1.0
cpc:G06F11-3612	cso:run-time_verification	1.0
cpc:G06F11-3612	cso:runtime_monitoring	1.0
cpc:G06F11-3612	cso:dynamic_analysis	1.0
cpc:G06F11-3616	cso:software_metrics	0.9
cpc:G06F11-362	cso:testing_and_debugging	1.0
cpc:G06F11-362	cso:debugging	1.0
cpc:G06F11-362	cso:program_debugging	1.0
cpc:G06F11-362	cso:software_debugging	1.0
cpc:G06F11-3668	cso:testing_and_debugging	1.0
cpc:G06F11-3668	cso:debugging	1.0
cpc:G06F11-3668	cso:program_debugging	1.0
cpc:G06F11-3668	cso:software_debugging	1.0
