	cpc_classification_symbol	cpc_label	Depth	cso_label	notes	ccs_label	notes
0	G06F8/00	Arrangements for software engineering	0	software engineering(0.7); software(0.7); computer programming(0.7)	"The cpc term is about creation of software and the assistance of computer tools in exercising the task of software engineering.
Note that the cpc term excludes the phase of testing and debugging. 
Terms considered:
- software engineering: has testing and debugging in some form or the other as sub-concept while the cpc descriptions states that this is not about testing and debugging – still intersection large enough – thus: 0.7
- software: “”
- computer engineering: “”"	Software and its engineering (1)	"Terms considered:
- Software and its engineering: Although this cpc term includes also concepts about testing & debugging, still close match – value 1"
1	G06F8/10	Requirements analysis; Specification techniques	1	requirements engineering (1); requirement engineering(1); software requirements (0.8); software requirements specifications (0.8); requirements specification (0.9); requirements specifications (0.9);	"The cpc term contains everything related to capturing user requirements. This includes modeling languages such as UML, requirements specifications, graph notations, …
Strict cso subsets, such as UML or Petri nets, are not considered as valid alignments since we focus here on equivalence.
Terms considered:
- requirement(s) engineering: close match – value 1
- requirement(s) analysis: according to wikipedia https://en.wikipedia.org/wiki/Requirements_engineering this is a subset of requirements engineering;
    I do think (mostly due to the cpc description) that this cpc term is better described by requirements engineering than by requirements analysis.
    Because of this considerations it is not included.
- customer requirements: not within the “to be considered” sub-ontologies
- requirements model: more of a subsumption relation than equivalence – thus not included
- usability requirements: too narrow
- software requirements: it is an object instead of an activity, therefore value 0.9
- software requirements specifications: again, value 0.9
- requirements specification: also here, object instead of activity, but otherwise close match – value 0.9
- requirements specifications: synonym"	Requirements analysis (1)	"Terms considered:
- Requirements analysis: clear match – value 1.0
- System description languages: this is a subset of specification techniques – therefore not a match
- Specification languages: too narrow"
2	G06F8/20	Software design	1	software design (1)	"The cpc term is about determining the main structure, the modules and the relationships between them.
Terms considered:
- software design: clear match – value 1
- software design patterns: this cso term is about design patterns in the context of object-oriented development (parent is object oriented programming), thus it is a strict subset of the cpc term – therefore, not included
- I do not consider any term related to patterns as equivalent."	Designing software (1)	"Terms considered:
- Designing software: according to sub-concepts this is a clear match – value 1.0"
3	G06F8/22	Procedural	2		Apparently there exists no concept that corresponds to the notion of Procedural Design. As far as I can see, the closest match is imperative programs, but this can hardly be interpreted as equivalent.		"Terms considered:
- Imperative languages: probably too far off – since (a) the cpc concept is not about languages but about software design and (b) imperative is not the same as procedural"
4	G06F8/24	Object-oriented	2	object-oriented design (1); object oriented design (1); object oriented (1); object-oriented (1)	"The cpc term is all about planning and design of an object-oriented system
Terms considered:
- object-oriented design: exact match – value 1
- object oriented design: synonym
- object oriented: can also be considered as a close match – value 1
- object-oriented: synonym
- object-oriented system: would be subsumption, therefore not included.
- design patterns: design patterns are often related to oop, but not exclusively – therefore not included.
- object-oriented programming: the name of this concept indicates subsumption – therefore not included."	Object oriented development (0.8)	"Terms considered:
- Object oriented architectures: the cpc term is about planning, the ccs concept is about the outcome – omit
- Object oriented development: in general development also includes design, thus it is slightly more broad – value 0.8"
5	G06F8/30	Creation or generation of source code	1		"The cpc term is about conceptual steps of converting abstract representations (design or specifications) into a concrete representation in the form of program code.
Terms considered:
- code generation: child of program compilers – In general compilers transform program code into lower level program code, plus represent an automated approach, thus not applicable here
- automatic code generation: child of program compilers – same reasoning as above
- computer programming: This concept is simply too broad."		"Terms considered:
- Source code generation: descendant of Compilers, thus ascendants are significantly different
- There is no concept in ccs that also represents the phase of converting an abstract representation into program code"
6	G06F8/31	Programming languages or programming paradigms	2	computer programming languages (0.8); programming languages (0.8); programming language(0.8)	"The cpc term refers to programming languages and paradigms that are used by programmers.
Terms considered:
- computer programming languages: This cso term is not primarily about paradigms, therefore it is more narrow – value 0.8
- programming languages: A similar concept. With the same reasoning as above, I assign 0.8
- programming language: synonym"	General programming languages (0.8); Language types (1)	"Terms considered:
- General programming languages: slightly more broad – value 0.8
- Language types: the descendants of the ccs and cpc concepts match – value 1"
7	G06F8/311	Functional or applicative languages; Rewrite languages	3	functional programming (0.8); functional languages (1); functional programs (0.7)	"The cpc term is simply about functional programming languages.
Terms considered:
- functional programming: more broad than the cpc term (the cpc term is  mostly about “languages”), thus I assign a score of 0.8.
- functional languages: exact match – value 1.0
- functional programs: as functional programming is more broad, we start here at a value of 0.8, additionally it is an object instead of activity, therefore resulting value is 0.7"	Functional languages (1.0)	"Terms considered:
- Functional languages: close match – value 1.0"
8	G06F8/312	List processing, e.g. LISP programming language	3		The cpc term is about list processing languages. Apparently there exists no related term in cso.		
9	G06F8/313	Logic programming, e.g. PROLOG programming language	3	logic programming (1); logic programs (0.7)	"The cpc term is about programming languages that express programs as a collection of logical statements.
Terms considered:
- logic programming: rather clear match; Thus, value of 1.
- logic programs: more broad and we have object instead of activity  - value 0.7"	Constraint and logic languages (1.0)	"Terms considered:
- Constraint and logic languages: close match – value 1.0"
10	G06F8/3135	Unification or backtracking	4		"Unification is about: finding an assignment that satisfies all clauses; Backtracking is about: done on partial unifications and continue to find possible unifications.
Nothing related in cso found."		
11	G06F8/314	Parallel programming languages (G06F 8/313 takes precedence)	3	parallel programming (0.8); parallel code (0.7); parallel languages (1.0)	"The cpc term describes languages with constructs for expressing parallelism.
Terms considered:
- parallel programming: more broad than languages – value 0.8
- parallel code: same reasoning as above + object instead of activity – value 0.7
- parallel languages: exact match – value 1.0
- parallel computing: not part of the “to be considered” sub-ontologies."	Parallel programming languages (1.0)	"Terms considered:
- Parallel programming languages: close match – value 1.0"
12	G06F8/315	Object-oriented languages	3	object oriented programming (0.7); object-oriented programming (0.7); object-oriented languages(1); object-oriented programming languages (1)	"The cpc term describes languages that allow to write code with objects that interact with another.
Terms considered:
- object oriented programming: There are many sub-concepts that are not related to the cpc term, and also the name suggests a more broad concept + activity instead of object – value 0.7
- object-oriented programming: synonym
- object-oriented languages: exact match – value .10
- object-oriented programming languages: “”
- object oriented: Too broad since the cpc term is explicitly about languages
- object oriented method: Not considered related enough
- object oriented approach: “”
- object oriented database: “”
- object oriented software: “”
- object-oriented design: “”
- object-oriented system: Not considered related enough"	Object oriented languages (1)	"Terms considered:
- Object oriented languages: close match – value 1"
13	G06F8/316	Aspect-oriented programming techniques	3	aspect-oriented programming (0.9); aspect oriented programming(0.9); aspect-oriented programming (aop) (0.9); aspect oriented software development(0.7); aspect-oriented software development (0.7); aspect-oriented (0.7); aspect-orientation (0.7)	"The cpc term is about programming paradigm that allows different orthogonal aspects of a program in parallel that shall be merged at a later stage.
Terms considered:
- aspect-oriented programming: activity instead of object – value 0.9
- aspect oriented programming: synonym
- aspect-oriented programming (aop): synonym
- aspect oriented software development: activity instead of object and more broad than just techniques – value 0.7
- aspect-oriented software development: syonym
- aspect-oriented: this cso term refers to software design; it is more broad + property instead of object – value 0.7
- aspect-orientation: same as above – value 0.7
- aspect-oriented software: not considered as a match since it is about the outcome of the activity described in this cpc concept and, thus, not representing an equivalence relation."		
14	G06F8/33	Intelligent editors	2		"The cpc term is about intelligent editors that help a programmer to write programs – example: auto-indent
No terms found that match this concept."	Integrated and visual development environments (0.7)	"Terms considered:
- Integrated and visual development environments: Most of the time IDEs are also intelligent editors, thus I consider the intersection large enough – value 0.7"
15	G06F8/34	Graphical or visual programming	2	visual programming (1); visual programming languages (0.8)	"The cpc term is about programming techniques whereby a program is created by using graphical objects rather than by writing code.
Terms considered:
- visual programming: close match – value 1
- visual programming languages: more narrow, therefore value 0.8"	Visual languages (0.7)	"Terms considered:
- Visual languages: the ccs concept is a subset – but considered large enough to be considered as an equivalent relation; additionally object instead of activity – value 0.7"
16	G06F8/35	model driven	2	model driven architectures (0.8); model-driven architectures (0.8); model driven architecture (0.8); model-driven architecture (0.8); model driven engineering (0.8);  model-driven engineering (0.8); mde (0.8); model driven development (0.8); model-driven development(0.8)	"The cpc term is about automatically generating program code (source code) from a model of what the program should do.
Terms considered:
- model driven architectures: more narrow – value 0.8
- model-driven architectures: synonym
- model driven architecture: synonym
- model-driven architecture: synonym
- model driven engineering: more narrow – value 0.8.
- model-driven engineering: synonym
- mde: synonym
- model driven development: more narrow – value 0.8
- model-driven development: synonym"	Model-driven software engineering (1)	"Terms considered:
- Model-driven software engineering: close match – value 1"
17	G06F8/355	Round-trip engineering	3		"The cpc term is about arrangements for keeping amodel and the corresponding program code in sync when applying changes.
No related CSO term found."		"Terms considered:
- Reverse engineering: see https://de.wikipedia.org/wiki/Round-Trip-Engineering - however, not included"
18	G06F8/36	Software reuse	2	computer software reusability (0.9); reusability (0.9); software reuse(1); software re-use (1)	"The cpc term is about everything related to software reuse, such as storing and retrieving reusable software modules.
Terms considered:
- computer software reusability: attribute instead of activity – value 0.9
- reusability: “”
- reusable components: too narrow
- reusable softwares: too narrow
- software reuse: matches the cpc description – therefore value 1
-  software re-use: synonym"	Reusability (0.7)	"Terms considered:
- Reusability: According to the ccs descendants it is not broad enough to match the cpc concept + attribute instead of object – value 0.7"
19	G06F8/37	Compiler construction; Parser generation	2		"The cpc term is about automatically generating a compiler or parser based on grammar.
No related terms found."	Translator writing systems and compiler generators (1.0)	"Terms considered: 
- Translator writing systems and compiler generators: This is essentially a close match since Translator writing systems are systems that write translators, i.e. parser generators. Value 1.0"
