	precision	recall	f1	#TP	#FP	#Gold_Standard
logmap	0.9107648725212465	0.8482849604221636	0.8784153005464481	1286	126	1516
logmap_exp	0.8055727554179567	0.8581794195250659	0.8310443947620569	1301	314	1516
logmap-lt	0.987792472024415	0.6405013192612137	0.777110844337735	971	12	1516
aml	0.9570200573065902	0.8812664907651715	0.9175824175824174	1336	60	1516
sanom	0.642346208869814	0.5923482849604221	0.6163349347975292	898	500	1516
sanom_wordnet	0.642346208869814	0.5923482849604221	0.6163349347975292	898	500	1516
ontoconnect	0.4572260647979614	0.8284960422163589	0.5892563922120572	1256	1491	1516
logmap-ml_owl2vec_star_label	0.6332116788321168	0.6866754617414248	0.6588607594936708	1041	603	1516
logmap-ml_owl2vec_star_path	NA	NA	NA	NA	NA	NA
logmap-ml_word2vec_label	0.6548895899053627	0.6846965699208444	0.6694614640438568	1038	547	1516
logmap-ml_word2vec_path	NA	NA	NA	NA	NA	NA
bertmap-us_200	NA	NA	NA	NA	NA	NA
bertmap-us_25	NA	NA	NA	NA	NA	NA
lxlhmeta	0.9911894273127754	0.14841688654353563	0.2581755593803786	225	2	1516
ljlevolutionary	0.32909379968203495	0.13654353562005278	0.19300699300699303	207	422	1516
baseline	0.9950248756218906	0.13192612137203166	0.23296447291788003	200	1	1516
