	source	target	is_correct	logmap	logmap_exp	logmap-lt	aml	sanom	sanom_wordnet	ontoconnect	logmap-ml_owl2vec_star_label	logmap-ml_owl2vec_star_path	logmap-ml_word2vec_label	logmap-ml_word2vec_path	bertmap-us_200	bertmap-us_25	lxlhmeta	ljlevolutionary	baseline
0	retargetable compilers	Retargetable compilers	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
1	program documentation	Documentation	True	True	True	False	False	True	True	True	False	False	False	False	False	False	False	False	False
2	object-oriented languages	Object oriented languages	True	True	True	False	True	True	True	True	True	True	False	False	False	False	True	False	False
3	software design	Designing software	True	True	True	False	False	True	True	False	True	True	True	False	False	False	False	False	False
4	compilation	Compilers	True	True	True	False	False	True	True	False	False	False	False	False	False	False	False	False	False
5	preprocessors	Preprocessors	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
6	incremental compilation 	Incremental compilers	True	True	True	False	False	True	True	True	False	True	False	True	False	False	False	False	False
7	parallel programming languages 	Parallel programming languages	True	True	True	True	True	True	True	True	True	True	True	False	False	False	True	False	False
8	functional or applicative languages; rewrite languages	Functional languages	True	False	True	False	False	True	True	True	False	True	False	False	False	False	False	False	False
9	parsing	Parsers	True	False	True	False	False	False	False	True	False	True	False	True	False	False	False	False	False
10	arrangements for software engineering	Software and its engineering	True	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False
11	requirements analysis; specification techniques	Requirements analysis	True	False	True	False	False	True	True	True	False	False	False	False	False	False	False	False	False
12	reverse engineering; extracting design information from source code	Software reverse engineering	True	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False
13	message passing systems or structures, e.g. queues	Message passing	True	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False
14	software debugging	Software testing and debugging	True	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False
15	version control ; configuration management	Software version control	True	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False
16	logic programming, e.g. prolog programming language	Constraint and logic languages	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
17	software analysis for verifying properties of programs using formal methods, e.g. model checking, abstract interpretation 	Formal methods	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
18	software debugging	Software performance	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False
19	software reuse	Reusability	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False
20	software metrics	Software verification	False	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False
21	code distribution 	Distributed memory	False	True	True	False	False	True	True	False	False	False	False	False	False	False	False	False	False
22	version control ; configuration management	Software configuration management and version control systems	False	False	True	False	True	True	True	True	False	False	False	False	False	False	False	False	False
23	creation or generation of source code	Source code generation	False	False	True	False	True	True	True	True	False	False	False	False	False	False	False	False	False
24	software maintenance or management	Software maintenance tools	False	False	True	False	False	True	True	False	False	True	False	False	False	False	False	False	False
25	software maintenance or management	Software creation and management	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False
26	semantic checking	Semantics	False	False	True	False	False	True	True	False	False	True	False	True	False	False	False	False	False
27	creation or generation of source code model driven	Source code generation	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False
28	test management	Risk management	False	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False
29	object-oriented	Object oriented development	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	False
30	environments for testing or debugging software	Software testing and debugging	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False
31	software design	Software design techniques	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False
32	procedural	Backup procedures	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False
33	dependency analysis; data or control flow analysis	Data flow architectures	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False
34	checking; contextual analysis	Model checking	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False
35	software design	Software design tradeoffs	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False
36	checking; contextual analysis	Contextual software domains	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False
37	semantic checking	Model checking	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False
38	graphical or visual programming	Visual languages	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False
39	compilation	Dynamic compilers	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False
40	incremental compilation 	Compilers	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False
41	data distribution	Distributed memory	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False
42	compilation	Retargetable compilers	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False
43	object-oriented	Object oriented architectures	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False
44	software design	Design patterns	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False
45	object-oriented languages	Object oriented development	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False
46	type checking	Abstract data types	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False
47	type checking	Language types	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False
48	procedural	Procedures, functions and subroutines	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False
49	compilation	Incremental compilers	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False
50	syntactic analysis	Compilers	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False
51	object-oriented	Object oriented languages	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False
52	code distribution 	Distributed programming languages	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False
53	buffers; shared memory; pipes	Buffering	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False
54	object-oriented languages	Object oriented frameworks	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False
55	test management	Process management	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False
56	retargetable compilers	Compilers	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False
57	object-oriented languages	Object oriented architectures	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False
58	dependency analysis; data or control flow analysis	Data flow languages	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False
59	type checking	Model checking	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False
60	compiler construction; parser generation	Parsers	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False
61	retargetable	Retargetable compilers	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False
62	interprogram communication	Communications management	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False
63	software testing 	Acceptance testing	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False
64	software design	Design languages	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False
65	incremental compilation 	Dynamic compilers	False	False	False	False	False	True	True	False	False	True	False	True	False	False	False	False	False
66	functional or applicative languages; rewrite languages	Functionality	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False
67	retargetable compilers	Dynamic compilers	False	False	False	False	False	True	True	False	True	True	True	True	False	False	False	False	False
68	object-oriented	Object oriented frameworks	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False
69	software design	Software design engineering	False	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False
70	aspect-oriented programming techniques	Object oriented languages	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
71	software pipelining	Software infrastructure	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
72	assessing vulnerabilities and evaluating computer system security	Risk management	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
73	methods or tools to render software testable	Software notations and tools	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
74	source to source	Source code generation	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
75	programming languages or programming paradigms	General programming languages	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
76	exlining; procedural abstraction	Specialized application languages	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
77	test management for test results analysis	Requirements analysis	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
78	software debugging by instrumenting at runtime	Software prototyping	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
79	syntactic analysis	Semantics	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
80	compilation	Garbage collection	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
81	updates while running	Just-in-time compilers	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
82	exploiting fine grain parallelism, i.e. parallelism at instruction level 	Very high level languages	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
83	reducing the execution time required by the program code	Just-in-time compilers	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
84	techniques for rebalancing the load in a distributed system	Distributed systems organizing principles	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
85	software testing 	Software testing and debugging	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
86	software analysis for verifying properties of programs by runtime analysis 	Software functional properties	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
87	pointers; aliasing	Software design techniques	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
88	instruction issuing, e.g. dynamic instruction scheduling, out of order instruction execution	Just-in-time compilers	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
89	object oriented; remote method invocation [rmi] 	Backup procedures	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
90	software debugging using additional hardware using a specific debug interface	Software prototyping	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
91	software debugging by performing operations on the source code, e.g. via a compiler	Search-based software engineering	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
92	software analysis for verifying properties of programs 	Software functional properties	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
93	installation	Designing software	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
94	test management for test version control, e.g. updating test cases to a new software version	Collaboration in software development	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
95	target code generation	Source code generation	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False
96	lexical analysis	Dynamic analysis	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
97	register allocation; assignment of physical memory space to logical memory space	Space-based architectures	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
98	checking; contextual analysis	Operational analysis	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
99	interprogram communication {via adapters, e.g. between incompatible applications}	Mutual exclusion	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
100	code refactoring	Parsers	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
101	creation or generation of source code model driven	Software system models	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
102	exploiting coarse grain parallelism in compilation, i.e. parallelism between groups of instructions	Distributed systems organizing principles	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
103	semantic checking	Correctness	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
104	inlining	Parsers	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
105	creation or generation of source code for implementing user interfaces	Source code generation	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
106	preventing errors by testing or debugging software	Software testing and debugging	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
107	software debugging by tracing the execution of the program tracing values on a bus	Just-in-time compilers	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
108	techniques for rebalancing the load in a distributed system involving task migration	Organizing principles for web applications	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
109	methods to solve the \year 2000\ [y2k] problem	Formal methods	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
110	unification or backtracking	Formal methods	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
111	reducing the energy consumption	Risk management	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
112	allocation of resources, e.g. of the central processing unit [cpu] {to service a request the resource being a machine, e.g. cpus, servers, terminals considering the load}	Rapid application development	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
113	binary to binary	Parsers	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
114	software debugging of specific synchronisation aspects	Software prototyping	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
115	encoding	Parsers	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
116	test management for coverage analysis	Requirements analysis	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
117	reverse engineering; extracting design information from source code	Search-based software engineering	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
118	environments for testing or debugging software	Software maintenance tools	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
119	transformation of program code	Software implementation planning	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
