	precision	recall	f1	#TP	#FP	#Gold_Standard
logmap	0.75	0.21428571428571427	0.3333333333333333	9	3	42
logmap_exp	0.6818181818181818	0.35714285714285715	0.46875000000000006	15	7	42
logmap-lt	1.0	0.07142857142857142	0.13333333333333333	3	0	42
aml	0.75	0.14285714285714285	0.24	6	2	42
sanom	0.3389830508474576	0.47619047619047616	0.39603960396039606	20	39	42
sanom_wordnet	0.3389830508474576	0.47619047619047616	0.39603960396039606	20	39	42
ontoconnect	0.1623931623931624	0.4523809523809524	0.23899371069182387	19	98	42
logmap-ml_owl2vec_star_label	0.5	0.11904761904761904	0.1923076923076923	5	5	42
logmap-ml_owl2vec_star_path	0.34615384615384615	0.21428571428571427	0.2647058823529412	9	17	42
logmap-ml_word2vec_label	0.4444444444444444	0.09523809523809523	0.1568627450980392	4	5	42
logmap-ml_word2vec_path	0.3076923076923077	0.09523809523809523	0.14545454545454545	4	9	42
bertmap-us_200	1.0	0.047619047619047616	0.0909090909090909	2	0	42
bertmap-us_25	1.0	0.047619047619047616	0.0909090909090909	2	0	42
lxlhmeta	1.0	0.09523809523809523	0.17391304347826084	4	0	42
ljlevolutionary	0.6666666666666666	0.047619047619047616	0.08888888888888889	2	1	42
baseline	1.0	0.047619047619047616	0.0909090909090909	2	0	42
