	source	target	is_correct	logmap	logmap_exp	logmap-lt	aml	sanom	sanom_wordnet	ontoconnect	logmap-ml_owl2vec_star_label	logmap-ml_owl2vec_star_path	logmap-ml_word2vec_label	logmap-ml_word2vec_path	bertmap-us_200	bertmap-us_25	lxlhmeta	ljlevolutionary	baseline
0	retargetable compilers	Retargetable compilers	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
1	software design	Designing software	True	True	True	False	False	True	True	False	True	True	True	False	False	False	False	False	False
2	preprocessors	Preprocessors	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True
3	software reuse	Reusability	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False
4	compilation	Compilers	True	True	True	False	False	True	True	False	False	False	False	False	False	False	False	False	False
5	parallel programming languages 	Parallel programming languages	True	True	True	True	True	True	True	True	True	True	True	False	False	False	True	False	False
6	incremental compilation 	Incremental compilers	True	True	True	False	False	True	True	True	False	True	False	True	False	False	False	False	False
7	program documentation	Documentation	True	True	True	False	False	True	True	True	False	False	False	False	False	False	False	False	False
8	object-oriented languages	Object oriented languages	True	True	True	False	True	True	True	True	True	True	False	False	False	False	True	False	False
9	version control ; configuration management	Software configuration management and version control systems	True	False	True	False	True	True	True	True	False	False	False	False	False	False	False	False	False
10	software maintenance or management	Software maintenance tools	True	False	True	False	False	True	True	False	False	True	False	False	False	False	False	False	False
11	functional or applicative languages; rewrite languages	Functional languages	True	False	True	False	False	True	True	True	False	True	False	False	False	False	False	False	False
12	arrangements for software engineering	Software and its engineering	True	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False
13	parsing	Parsers	True	False	True	False	False	False	False	True	False	True	False	True	False	False	False	False	False
14	requirements analysis; specification techniques	Requirements analysis	True	False	True	False	False	True	True	True	False	False	False	False	False	False	False	False	False
15	object-oriented	Object oriented development	True	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	False
16	message passing systems or structures, e.g. queues	Message passing	True	False	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False
