	precision	recall	f1	#TP	#FP	#Gold_Standard
logmap	0.9	0.15254237288135594	0.2608695652173913	9	1	59
logmap_exp	0.5555555555555556	0.2542372881355932	0.3488372093023256	15	12	59
logmap-lt	0.9411764705882353	0.2711864406779661	0.42105263157894735	16	1	59
aml	0.8333333333333334	0.3389830508474576	0.48192771084337344	20	4	59
sanom	0.22857142857142856	0.2711864406779661	0.24806201550387597	16	54	59
sanom_wordnet	0.22857142857142856	0.2711864406779661	0.24806201550387597	16	54	59
ontoconnect	0.1282051282051282	0.2542372881355932	0.17045454545454544	15	102	59
logmap-ml_owl2vec_star_label	0.8888888888888888	0.13559322033898305	0.2352941176470588	8	1	59
logmap-ml_owl2vec_star_path	0.14473684210526316	0.1864406779661017	0.16296296296296298	11	65	59
logmap-ml_word2vec_label	0.8	0.13559322033898305	0.23188405797101452	8	2	59
logmap-ml_word2vec_path	0.2222222222222222	0.06779661016949153	0.1038961038961039	4	14	59
bertmap-us_200	0.9411764705882353	0.2711864406779661	0.42105263157894735	16	1	59
bertmap-us_25	0.9411764705882353	0.2711864406779661	0.42105263157894735	16	1	59
lxlhmeta	0.9411764705882353	0.2711864406779661	0.42105263157894735	16	1	59
ljlevolutionary	0.7	0.11864406779661017	0.20289855072463767	7	3	59
baseline	0.9411764705882353	0.2711864406779661	0.42105263157894735	16	1	59
