	source	target	is_correct	logmap	logmap_exp	logmap-lt	aml	sanom	sanom_wordnet	ontoconnect	logmap-ml_owl2vec_star_label	logmap-ml_owl2vec_star_path	logmap-ml_word2vec_label	logmap-ml_word2vec_path	bertmap-us_200	bertmap-us_25	lxlhmeta	ljlevolutionary	baseline
0	software metrics	software metrics	True	True	True	True	True	True	True	True	True	False	True	False	True	True	True	True	True
1	program documentation	program documentation	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True
2	software reuse	software re-use	True	True	True	True	True	False	False	False	True	True	True	True	True	True	True	True	True
3	code refactoring	refactorings	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True
4	software pipelining	software pipelining	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True
5	partial evaluation	partial evaluation	True	True	True	True	True	True	True	True	False	False	False	False	True	True	True	True	True
6	software reuse	software reuse	True	True	True	True	True	False	False	True	True	True	True	True	True	True	True	False	True
7	software design	software design	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True
8	code refactoring	refactoring	True	True	True	True	True	True	True	False	True	True	True	False	True	True	True	False	True
9	functional or applicative languages; rewrite languages	functional languages	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False
10	code clone detection	clone detection	True	False	True	False	True	True	True	False	False	False	False	False	False	False	False	False	False
11	aspect-oriented programming techniques	aspect-oriented programming %28aop%29	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False
12	aspect-oriented programming techniques	aspect-oriented programming	True	False	True	False	True	False	False	True	False	False	False	False	False	False	False	False	False
13	software maintenance or management	software maintenance	True	False	True	False	True	True	True	False	False	False	False	False	False	False	False	False	False
14	aspect-oriented programming techniques	aspect oriented programming	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False
15	software debugging	software debugging	True	False	False	True	True	False	False	False	False	False	False	False	True	True	True	False	True
16	object-oriented	object-oriented	True	False	False	True	True	True	True	True	False	False	False	False	True	True	True	False	True
17	software debugging	debugging	True	False	False	True	True	False	False	False	False	False	False	False	True	True	True	False	True
18	object-oriented languages	object-oriented languages	True	False	False	True	True	False	False	True	False	False	False	False	True	True	True	False	True
19	software debugging	program debugging	True	False	False	True	True	False	False	False	False	False	False	False	True	True	True	False	True
20	software debugging	testing and debugging	True	False	False	True	True	False	False	False	False	False	False	False	True	True	True	False	True
21	object-oriented	object oriented	True	False	False	True	True	True	True	False	False	False	False	False	True	True	True	False	True
22	parallel programming languages 	parallel languages	True	False	False	False	True	True	True	False	False	False	False	False	False	False	False	False	False
23	compilation	compiler	True	False	False	False	False	True	True	False	False	True	False	False	False	False	False	False	False
24	compilation	compilers	True	False	False	False	False	True	True	False	False	True	False	False	False	False	False	False	False
25	binary to binary	binary translation	True	False	False	False	False	True	True	True	False	True	False	False	False	False	False	False	False
26	compilation	program compilers	True	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False	False
27	requirements analysis; specification techniques	requirements specifications	True	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False
28	exploiting fine grain parallelism, i.e. parallelism at instruction level 	instruction-level parallelism	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
29	software testing 	software debugging	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
30	version control ; configuration management	version management	True	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False
31	software reuse	reusability	True	False	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False
