	precision	recall	f1	#TP	#FP	#Gold_Standard
logmap	0.9	0.08737864077669903	0.15929203539823011	9	1	103
logmap_exp	0.7037037037037037	0.18446601941747573	0.29230769230769227	19	8	103
logmap-lt	0.9411764705882353	0.1553398058252427	0.26666666666666666	16	1	103
aml	0.875	0.20388349514563106	0.33070866141732286	21	3	103
sanom	0.32857142857142857	0.22330097087378642	0.2658959537572254	23	47	103
sanom_wordnet	0.32857142857142857	0.22330097087378642	0.2658959537572254	23	47	103
ontoconnect	0.1794871794871795	0.20388349514563106	0.19090909090909092	21	96	103
logmap-ml_owl2vec_star_label	0.8888888888888888	0.07766990291262135	0.14285714285714285	8	1	103
logmap-ml_owl2vec_star_path	0.15789473684210525	0.11650485436893204	0.1340782122905028	12	64	103
logmap-ml_word2vec_label	0.8	0.07766990291262135	0.1415929203539823	8	2	103
logmap-ml_word2vec_path	0.2222222222222222	0.038834951456310676	0.06611570247933884	4	14	103
bertmap-us_200	0.9411764705882353	0.1553398058252427	0.26666666666666666	16	1	103
bertmap-us_25	0.9411764705882353	0.1553398058252427	0.26666666666666666	16	1	103
lxlhmeta	0.9411764705882353	0.1553398058252427	0.26666666666666666	16	1	103
ljlevolutionary	0.7	0.06796116504854369	0.12389380530973451	7	3	103
baseline	0.9411764705882353	0.1553398058252427	0.26666666666666666	16	1	103
