	source	target	is_correct	logmap	logmap_exp	logmap-lt	aml	sanom	sanom_wordnet	ontoconnect	logmap-ml_owl2vec_star_label	logmap-ml_owl2vec_star_path	logmap-ml_word2vec_label	logmap-ml_word2vec_path	bertmap-us_200	bertmap-us_25	lxlhmeta	ljlevolutionary	baseline
0	software metrics	software metrics	True	True	True	True	True	True	True	True	True	False	True	False	True	True	True	True	True
1	software reuse	software re-use	True	True	True	True	True	False	False	False	True	True	True	True	True	True	True	True	True
2	program documentation	program documentation	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True
3	partial evaluation	partial evaluation	True	True	True	True	True	True	True	True	False	False	False	False	True	True	True	True	True
4	code refactoring	refactoring	True	True	True	True	True	True	True	False	True	True	True	False	True	True	True	False	True
5	code refactoring	refactorings	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True
6	software design	software design	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True
7	software reuse	software reuse	True	True	True	True	True	False	False	True	True	True	True	True	True	True	True	False	True
8	software pipelining	software pipelining	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True
9	aspect-oriented programming techniques	aspect-oriented programming %28aop%29	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False
10	functional or applicative languages; rewrite languages	functional languages	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False
11	software maintenance or management	software maintenance	True	False	True	False	True	True	True	False	False	False	False	False	False	False	False	False	False
12	programming languages or programming paradigms	programming languages	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False
13	software maintenance or management	computer software maintenance	True	False	True	False	False	True	True	True	False	False	False	False	False	False	False	False	False
14	programming languages or programming paradigms	programming language	True	False	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False
15	aspect-oriented programming techniques	aspect-oriented programming	True	False	True	False	True	False	False	True	False	False	False	False	False	False	False	False	False
16	arrangements for software engineering	software engineering	True	False	True	False	False	True	True	True	False	False	False	False	False	False	False	False	False
17	aspect-oriented programming techniques	aspect oriented programming	True	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False
18	code clone detection	clone detection	True	False	True	False	True	True	True	False	False	False	False	False	False	False	False	False	False
19	object-oriented	object-oriented	True	False	False	True	True	True	True	True	False	False	False	False	True	True	True	False	True
20	software debugging	program debugging	True	False	False	True	True	False	False	False	False	False	False	False	True	True	True	False	True
21	software debugging	debugging	True	False	False	True	True	False	False	False	False	False	False	False	True	True	True	False	True
22	software debugging	testing and debugging	True	False	False	True	True	False	False	False	False	False	False	False	True	True	True	False	True
23	object-oriented	object oriented	True	False	False	True	True	True	True	False	False	False	False	False	True	True	True	False	True
24	object-oriented languages	object-oriented languages	True	False	False	True	True	False	False	True	False	False	False	False	True	True	True	False	True
